id;titulo;descripcion;tipo_contenido;contenido;fecha;audio;audio_content_type;video;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;banner;banner_content_type;estado_publicacion;tipo_consumo;valor;impuesto
1;tan empower;Response;INTERNO;../fake-data/blob/hipster.txt;2019-08-19T00:50:02;../fake-data/blob/hipster.png;image/png;Guadeloupe;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;GRATIS;38987;IVA0
2;port Credit Card Account encoding;capacitor Creative driver;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-19T03:59:33;../fake-data/blob/hipster.png;image/png;Metal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;GRATIS;41894;ICO
3;reboot bandwidth;Zloty visionary;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-19T17:08:16;../fake-data/blob/hipster.png;image/png;Rubber Pizza Fish;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;GRATIS;99126;IPOCONSUMO8
4;relationships heuristic Avon;integrate Direct;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-19T04:48:57;../fake-data/blob/hipster.png;image/png;navigating;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;EN_REVISION;GRATIS;44641;IPOCONSUMO8
5;Terrace Virginia index;success;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-19T19:48:45;../fake-data/blob/hipster.png;image/png;visualize Haiti Bedfordshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PUBLICADO;PAGO;94664;IVA19
6;withdrawal deposit;optimize redundant;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-19T05:55:55;../fake-data/blob/hipster.png;image/png;next-generation salmon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;GRATIS;96401;IVA6
7;red;synergize Shirt Home;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-19T00:25:09;../fake-data/blob/hipster.png;image/png;productize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;PAGO;8820;IPOCONSUMO8
8;utilize;Director generate;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-19T02:11:06;../fake-data/blob/hipster.png;image/png;transmitting;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PUBLICADO;GRATIS;96641;ICO
9;Architect;Auto Loan Account;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-19T02:50:27;../fake-data/blob/hipster.png;image/png;middleware local area network bluetooth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;GRATIS;71088;IPOCONSUMO8
10;Investor array;Track Rustic Soft Cheese;INTERNO;../fake-data/blob/hipster.txt;2019-08-19T13:51:08;../fake-data/blob/hipster.png;image/png;TCP Usability;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;EN_REVISION;GRATIS;86354;ICO
