id;mensaje;sender;read;delivered;sent;fecha
1;Small;18903;true;true;false;2019-08-19T02:35:55
2;Credit Card Account;89572;false;true;true;2019-08-19T08:33:08
3;end-to-end;94044;true;false;false;2019-08-18T21:25:06
4;copying;12992;false;true;true;2019-08-18T22:57:44
5;South Carolina;90719;true;true;false;2019-08-19T09:37:20
6;seize Usability Burundi Franc;11602;true;false;false;2019-08-19T06:12:30
7;Web calculating;67584;false;false;false;2019-08-19T13:39:28
8;SMTP Chips radical;12960;true;true;true;2019-08-18T21:06:14
9;attitude-oriented;47540;true;true;true;2019-08-18T19:46:20
10;Fantastic;49857;true;false;true;2019-08-18T22:58:47
