id;descripcion;estatus;count;badge;time;send_time;grupo
1;Locks Intelligent;EnLinea;5235;85895;maroon Somalia applications;2019-08-19T02:29:16;false
2;invoice Row;Desconectado;3593;29530;Frozen deposit;2019-08-19T02:01:59;true
3;Technician;Desconectado;71320;46815;Vermont;2019-08-19T17:42:40;false
4;open-source;Desconectado;78201;51586;attitude-oriented calculating;2019-08-19T19:24:24;false
5;National backing up;EnLinea;40428;33024;Investor 24/7;2019-08-19T02:21:46;false
6;Associate Iceland Syrian Pound;Desconectado;26725;77292;Bulgaria;2019-08-18T20:20:07;true
7;Alabama;Desconectado;80715;36773;Ball;2019-08-19T09:18:26;false
8;encompassing;EnLinea;57064;135;monitoring payment;2019-08-18T20:22:44;true
9;Armenian Dram Tonga synthesizing;Desconectado;39800;15232;Senior;2019-08-19T02:42:58;false
10;Phased Berkshire bypass;Desconectado;99020;94272;haptic;2019-08-18T19:58:04;true
