id;nombre;capacidad_instalada;wifi;tarifa_1_h_miembro;tarifa_2_h_miembro;tarifa_3_h_miembro;tarifa_4_h_miembro;tarifa_5_h_miembro;tarifa_6_h_miembro;tarifa_7_h_miembro;tarifa_8_h_miembro;tarifa_1_h_invitado;tarifa_2_h_invitado;tarifa_3_h_invitado;tarifa_4_h_invitado;tarifa_5_h_invitado;tarifa_6_h_invitado;tarifa_7_h_invitado;tarifa_8_h_invitado;impuesto;video;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;imagen_3;imagen_3_content_type;imagen_4;imagen_4_content_type;imagen_5;imagen_5_content_type;imagen_6;imagen_6_content_type
1;Gorgeous Metal Shoes;11669;Mall Investment Account;79428;34886;10669;92952;85072;83061;74597;96502;40851;12429;93293;73086;99092;93834;20500;18123;IVA0;back-end synthesizing override;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Bacon Mouse open-source;66519;Tunisia granular;87720;58830;39244;68298;81659;45194;43913;71378;37694;89966;46267;62410;30137;53978;74760;43874;ICO;synthesize Bahrain;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Pre-emptive Bouvet Island (Bouvetoya) experiences;33281;array Belize Dollar;16673;79402;87862;62007;49542;53346;74146;89389;57315;78859;99769;15167;75240;31172;70698;24848;IVA6;Cambridgeshire navigate Licensed;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Fantastic indexing;12748;syndicate haptic;14991;48635;22925;40895;72225;77188;72003;1220;64114;59844;69394;56550;54272;71617;25179;59902;ICO;Idaho strategize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;value-added Savings Account;91185;Granite Generic;25601;1811;72609;87212;59296;93211;10221;56513;91875;69665;79008;92249;2302;70723;65136;15253;IVA19;Unbranded programming District;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Concrete;98484;hacking;12466;83749;92084;33214;86989;31144;51883;22739;59127;60789;39900;37930;5476;74424;33519;20557;IVA6;Switzerland Chief;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Inlet Rue;91845;Idaho Grocery;91274;14085;24822;17638;57763;49836;16551;41892;3387;91484;31147;36239;78049;58058;27758;63226;IVA6;Bedfordshire Strategist;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Towels applications;8534;Officer Bedfordshire;59538;30993;6707;39731;74996;42678;20990;79978;89805;34938;20513;46823;19068;62497;3654;37772;IPOCONSUMO8;synthesize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Macedonia Japan;48108;Borders hack;10298;18192;33436;86178;7550;94611;75324;37330;27230;27074;89743;64399;52657;40873;80074;2538;IPOCONSUMO8;Cyprus;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Distributed;67189;Kids Incredible;79991;56944;17854;88746;65274;55672;23818;72081;9944;80531;24317;98872;72226;60319;85569;80685;ICO;eco-centric Senior;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
