id;nombre;descripcion;facilidades;capacidad;apertura;cierre;wifi;video;video_content_type;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;imagen_3;imagen_3_content_type;imagen_4;imagen_4_content_type;imagen_5;imagen_5_content_type;imagen_6;imagen_6_content_type;tarifa_1_hora;tarifa_2_hora;tarifa_3_hora;tarifa_4_hora;tarifa_5_hora;tarifa_6_hora;tarifa_7_hora;tarifa_8_hora;impuesto
1;withdrawal circuit;generating frictionless solution-oriented;distributed Computers;83065;best-;appli;Consultant back-end Fresh;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;56577;48743;98536;89455;47106;79985;18210;42521;IVA19
2;Philippine Peso incentivize;Metal;methodologies Granite Corporate;69122;Armen;Globa;Awesome Cotton Tuna;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;49746;82974;72020;20642;10657;1099;14001;13688;IPOCONSUMO8
3;pixel Phased payment;Towels Internal;seize generate;42203;strat;micro;Fantastic Fresh Ball;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;43719;35567;91551;71904;72153;29712;61040;56640;IVA6
4;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account;indexing;95523;Pants;Incre;supply-chains feed Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;45968;24640;7593;81910;7776;79941;233;69469;IVA6
5;solid state;Soft Quality Mount;Awesome;95817;input;Phili;deposit Rand Namibia Dollar;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;5159;94405;66991;3942;4416;70557;58826;92524;IPOCONSUMO8
6;Metal;complexity Direct Administrator;online program Refined Granite Gloves;52243;depos;Grani;Greenland models streamline;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;57242;31529;80397;53949;53840;79072;66165;31875;IPOCONSUMO8
7;web-readiness;JBOD Books;sky blue matrix Data;7002;Garde;AGP C;Practical killer Russian Federation;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;73227;23877;334;11047;46731;35462;29700;28723;IVA0
8;Practical Wooden Shirt whiteboard Concrete;Data open-source Generic;Facilitator XSS;60079;Inves;Assoc;Phased connecting;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;12033;23066;4694;17652;38409;22048;3673;18643;IVA6
9;Cambridgeshire Personal Loan Account Chile;syndicate;Buckinghamshire Liaison Forward;46338;Savin;Antig;Trail;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;39116;26560;27295;12951;47667;88874;4437;95565;IVA0
10;bandwidth fresh-thinking;implement;Saint Helena Pound;4878;Belar;Bond ;Facilitator;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;6151;49514;88290;48058;51607;59240;90651;82468;IVA6
