id;nombre_evento;descripcion;contenido;audio;audio_content_type;video;video_content_type;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;banner;banner_content_type;tipo_consumo;valor;impuesto;tipo_evento;evento_newo;web
1;Automotive Tasty Cotton Towels executive;mobile Innovative;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GRATIS;84727;IVA0;INSTITUCIONAL;false;Intelligent Steel Sausages Keyboard SMTP
2;User-friendly;Oklahoma architectures;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PAGO;83965;IPOCONSUMO8;DE_GRUPO;true;deliverables neural
3;XML Cook Islands;Illinois;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PAGO;59380;ICO;INTERNO;true;partnerships neural
4;Incredible Metal Chicken input world-class;Hat RSS Aruba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GRATIS;93100;IVA6;INTERNO;false;Guinea
5;matrix;Diverse;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PAGO;43748;IPOCONSUMO8;DE_GRUPO;true;Re-engineered
6;payment applications;e-markets superstructure secured line;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GRATIS;33696;IVA19;CORPORATIVO;false;Saint Kitts and Nevis driver
7;reciprocal;Indiana Web;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GRATIS;36171;IVA6;INSTITUCIONAL;false;Buckinghamshire Bedfordshire holistic
8;Stream Chicken Fish;Squares;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PAGO;34460;IVA19;DE_GRUPO;false;open-source
9;Pizza Metal input;Michigan Infrastructure Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PAGO;38723;IPOCONSUMO8;GENERAL;true;Facilitator partnerships
10;Oklahoma;calculating Malaysia;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GRATIS;48226;ICO;DE_GRUPO;false;migration dynamic SAS
