id;titular_factura;tipo_persona;periodicidad_facturacion;maximo_monto;valor
1;Music Savings Account;JURIDICA;BIMESTRAL;16082;6420
2;Kentucky maximized;NATURAL;TRIMESTRAL;60002;72188
3;payment;NATURAL;MENSUAL;10279;98666
4;Steel Berkshire;JURIDICA;QUINCENAL;8786;88253
5;Small bypassing;JURIDICA;QUINCENAL;82144;20015
6;Chicken;JURIDICA;QUINCENAL;3158;59477
7;Checking Account Home Loan Account orchestration;JURIDICA;TRIMESTRAL;66082;89481
8;Montserrat synthesizing;NATURAL;SEMANAL;15954;47927
9;Savings Account utilisation Hill;JURIDICA;TRIMESTRAL;65326;22845
10;Designer;NATURAL;TRIMESTRAL;25768;84045
