id;nombre_grupo;instagram;facebook;twiter;linked_in;tipo_grupo;tipo_consumo;valor_suscripcion;impuesto;reglas_grupo;audio;audio_content_type;video;video_content_type;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;banner;banner_content_type
1;1080p Checking Account;eco-centric value-added functionalities;Movies Motorway Officer;Designer;Administrator;PUBLICO;GRATIS;7404;ICO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Buckinghamshire modular;Norfolk Island;Liaison Home Loan Account Rustic;Chief;hardware;EXTERNO;PAGO;26740;ICO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;North Dakota;feed Home Loan Account;Ethiopia;Checking Account;Sausages Wooden Dale;PUBLICO;GRATIS;37355;IVA0;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Views Integration;bus Savings Account;Dominican Peso Technician Sleek;index;Unbranded;PATROCINADO;GRATIS;58945;IPOCONSUMO8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Nakfa Swedish Krona;Handcrafted;programming;circuit;Computers;PATROCINADO;PAGO;35486;IVA19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Norwegian Krone Fantastic;software SAS revolutionize;Response Saudi Arabia;benchmark;compress matrix;PUBLICO;GRATIS;53833;IVA19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;SMTP Jewelery online;invoice Proactive;navigating Berkshire Nigeria;Data;networks;PUBLICO;GRATIS;59023;ICO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Implementation;real-time;synergies withdrawal upward-trending;Wooden;Licensed Concrete Sausages payment;EXTERNO;PAGO;51500;IVA6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Refined PNG;conglomeration Forward Data;withdrawal;Bedfordshire Integration;artificial intelligence Regional Awesome;PUBLICO;PAGO;41451;IVA19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Som Fish;architect Avon initiatives;Sports firewall application;capacity Belgium;Grocery Fish;EXTERNO;PAGO;60775;IPOCONSUMO8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
