id;nombre;descripcion;facilidades;telefono_negocio;numero_puestos;tarifa_mensual;impuesto;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;imagen_3;imagen_3_content_type
1;Metal;mint green Kentucky Groves;Communications Director Computer;Fish;22531;41798;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Nevada Wallis and Futuna Concrete;innovate Bahrain wireless;Namibia Intelligent;indexing initiatives;14095;94569;IVA19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;AI Ports;Finland Licensed Granite Computer cross-platform;Associate neural;pink Synergized;16470;54484;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Andorra yellow SMTP;Pizza Enterprise-wide Division;Producer quantify;Bahamas;9415;46393;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;primary reintermediate;navigating evolve;web services teal sky blue;executive;79285;75748;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;reinvent Human;Cape Verde Ridge;back-end methodology;customized Product Chips;50705;14071;ICO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;alarm hacking help-desk;Personal Loan Account Refined RAM;firewall toolset Administrator;Liaison Saint Helena Pound;63467;32301;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;systems Keyboard Clothing;Sleek Clothing;Dynamic Fantastic matrix;cutting-edge;29648;81906;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Internal withdrawal;end-to-end;transmitting FTP;Bike bandwidth;82597;8717;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Fresh out-of-the-box;ivory Credit Card Account;Home Loan Account bricks-and-clicks;online parsing Proactive;3111;12626;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
