id;nombre_producto;descripcion;inventariables;valor;impuesto;video;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;imagen_3;imagen_3_content_type;imagen_4;imagen_4_content_type;imagen_5;imagen_5_content_type;imagen_6;imagen_6_content_type;web
1;Colombian Peso Unidad de Valor Real;SMTP;false;99174;IVA19;frame;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Small Soft Gloves
2;invoice Interactions;Right-sized neural Handcrafted Fresh Ball;true;90719;IVA19;brand Synergistic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Brunei Darussalam synergize
3;primary Landing Books;driver Principal;false;12745;IPOCONSUMO8;optical Industrial Communications;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Kansas Auto Loan Account Falkland Islands (Malvinas)
4;RSS Concrete;Granite Ergonomic Concrete Bike Small Rubber Shoes;false;30126;IVA0;Checking Account Unbranded Fresh Pizza SMTP;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Money Market Account
5;Officer Checking Account Dominica;virtual Grocery Indiana;true;78916;IVA0;Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;bandwidth
6;Lead Vatu;Refined Frozen Towels Beauty North Korean Won;false;31694;IPOCONSUMO8;Table Soap Web;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;South Carolina Pakistan Rupee
7;Malagasy Ariary;Intelligent;false;78675;IVA19;Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Analyst motivating optimize
8;Adaptive vertical Pines;Corporate;false;27681;IVA0;Savings Account Plain;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;holistic plum
9;Albania TCP;gold;false;84392;IVA6;redundant Hawaii;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;empower Unbranded Plastic Shirt
10;Gorgeous Auto Loan Account Granite;XML Utah;false;49354;IVA6;Shirt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mindshare metrics
