id;recurso;tipo;unidad_medida;valor_unitario;valor_1_h;valor_2_h;valor_3_h;valor_4_h;valor_5_h;valor_6_h;valor_7_h;valor_8_h;valor_9_h;valor_10_h;valor_11_h;valor_12_h;impuesto;foto;foto_content_type;video;video_content_type
1;Stream Chicken Fish;Cantidad;Metal Soft transmitting;34460;27407;3085;80707;5189;19524;14217;34534;21339;33561;66514;97852;15732;IVA19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Infrastructure Bedfordshire;Tiempo;circuit implement;2519;78217;83899;12438;1141;79754;70369;61591;97025;84327;43766;9751;23497;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Venezuela Australia;Tiempo;Wooden Data hard drive;95246;39655;22672;13171;87934;86529;80878;15727;67715;30978;62502;29004;31654;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Texas parsing Investor;Tiempo;Intelligent Rubber Chair;28763;39068;30677;19142;35295;41165;62129;93499;33404;43054;73269;87798;40452;IVA19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;cross-platform Gourde US Dollar;Tiempo;Technician wireless alarm;11619;19899;78099;41833;78526;75093;60110;10137;99036;27785;32525;27631;94127;IVA19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Virgin Islands, U.S. Computer;Cantidad;hard drive;42272;20444;34652;51970;39761;7404;26427;60548;20533;51678;48303;74016;26853;IVA19;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Rubber Checking Account Car;Cantidad;Plaza Handcrafted;55337;26740;64163;1511;70379;96501;37325;25089;56365;67602;45068;70662;67205;ICO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Checking Account;Cantidad;Implementation capacitor;88299;668;20263;77230;58758;62520;70113;37355;68011;5048;40815;62748;1539;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Usability maroon;Cantidad;deposit Avon index;32704;9262;89005;74838;8430;91454;80718;43402;86131;25871;81725;43440;51272;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;payment Reactive;Tiempo;circuit;1374;2950;24837;35597;21440;1581;27080;7714;24755;91116;6252;35486;45894;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
