id;registro_fecha_entrada;registro_fecha_salida;estado_reserva
1;2019-08-18T19:48:39;2019-08-19T14:40:53;Cancelada
2;2019-08-19T03:51:21;2019-08-19T06:41:02;Cancelada
3;2019-08-19T00:40:46;2019-08-19T06:42:07;Activa
4;2019-08-19T10:24:01;2019-08-19T10:56:52;Cancelada
5;2019-08-19T16:01:14;2019-08-19T02:12:45;Cerrada
6;2019-08-19T02:49:37;2019-08-19T12:12:30;Reservada
7;2019-08-19T10:39:27;2019-08-18T16:45:51;Reservada
8;2019-08-18T17:49:40;2019-08-19T00:27:35;Reservada
9;2019-08-19T09:27:29;2019-08-19T08:43:04;Extendida
10;2019-08-18T20:08:19;2019-08-19T15:51:24;Activa
