id;nombre;descripcion;valor_minimo;valor_maximo
1;Handcrafted Metal Chicken Technician;leading edge;15620;74779
2;multi-byte initiatives;protocol;45517;57972
3;Street Directives Small Metal Cheese;Savings Account;69963;45357
4;Squares Codes specifically reserved for testing purposes Global;Cambridgeshire transition;15369;58449
5;compressing invoice;Pennsylvania;59284;9490
6;Checking Account Kwanza;communities;8456;91567
7;Personal Loan Account Team-oriented;payment tan JBOD;88609;68345
8;scale;tangible back-end Manager;3002;21622
9;Nuevo Sol Personal Loan Account Investment Account;synthesizing Rustic Plastic Pants Practical Frozen Shirt;81697;66930
10;Chief architecture Honduras;Practical Concrete Mouse Multi-layered Causeway;26856;94238
