id;registro_fecha_inicio;registro_fecha_final;tipo_registro
1;2019-08-19T00:20:44;2019-08-19T02:13:09;Fin
2;2019-08-19T08:30:05;2019-08-18T20:22:14;Inicio
3;2019-08-19T03:25:56;2019-08-18T21:36:43;Inicio
4;2019-08-19T04:10:04;2019-08-18T22:39:55;Fin
5;2019-08-19T03:58:46;2019-08-19T09:29:54;Inicio
6;2019-08-19T06:14:04;2019-08-18T18:23:46;Inicio
7;2019-08-19T03:34:28;2019-08-19T08:29:16;Fin
8;2019-08-18T18:31:42;2019-08-18T19:00:22;Fin
9;2019-08-19T01:22:06;2019-08-18T19:31:30;Inicio
10;2019-08-18T20:29:13;2019-08-19T06:13:55;Inicio
